City,RMSE
Aizawl,5.039089578430846
Ernakulam,8.454664599836013
Shillong,12.169780967835198
Kochi,12.669502838663188
Thiruvananthapuram,23.39595145463044
Chandigarh,26.10216596116746
Bhopal,34.41510706092065
Bengaluru,36.14091315208608
Chennai,37.043291676429526
Coimbatore,37.35891155104705
Hyderabad,46.912911530791604
Visakhapatnam,47.17084592118612
Jaipur,52.35063829954401
Jorapokhar,53.5186654935902
Mumbai,54.05953917436199
Brajrajnagar,61.501030496774476
Amaravati,68.42100405229309
Lucknow,97.92976067261331
Amritsar,113.92456053733643
Delhi,114.03623985236398
Patna,118.41329640719741
Gurugram,129.00486163333608
Kolkata,129.2507936579654
Guwahati,141.92018556722894
Talcher,170.17858428328609
Ahmedabad,261.69327801206396
